entry_time,symbol,regime,signal,entry,sl,tp,outcome,trade_id,exit_time,exit_price,status,pnl,duration_minutes
2026-03-13 07:41:36+00:00,EURJPY,0,BUY (Mean Reversion),182.828,182.53938,183.21283,❌ STOP LOSS,,2026-03-13 08:00:00+00:00,182.53938,CLOSED,-0.2886200000000087,18.4
2026-03-13 07:41:37+00:00,GBPJPY,0,BUY (Mean Reversion),211.83099,211.45996,212.32571,❌ STOP LOSS,,2026-03-13 08:00:00+00:00,211.45996,CLOSED,-0.3710300000000188,18.383333333333333
2026-03-13 08:35:00+00:00,EURUSD,0,BUY (Mean Reversion),1.14508,1.14305,1.14779,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,1.14779,CLOSED,0.0027099999999999,205.0
2026-03-13 08:35:01+00:00,GBPUSD,0,BUY (Mean Reversion),1.32686,1.32425,1.33033,❌ STOP LOSS,,2026-03-13 15:00:00+00:00,1.32425,CLOSED,-0.00261,384.98333333333335
2026-03-13 08:35:01+00:00,AUDUSD,0,BUY (Mean Reversion),0.70299,0.70092,0.70575,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,0.70575,CLOSED,0.0027599999999999,204.9833333333333
2026-03-13 08:35:02+00:00,USDCAD,0,SELL (Mean Reversion),1.36656,1.36882,1.36354,❌ STOP LOSS,,2026-03-13 12:00:00+00:00,1.36882,CLOSED,-0.0022599999999999,204.96666666666667
2026-03-13 08:35:02+00:00,USDCHF,0,SELL (Mean Reversion),0.78894,0.79054,0.78681,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,0.78681,CLOSED,0.0021299999999999,204.96666666666667
2026-03-13 08:35:03+00:00,EURJPY,0,BUY (Mean Reversion),182.47,182.13955,182.91061,✅ TAKE PROFIT,,2026-03-13 12:00:00+00:00,182.91061,CLOSED,0.4406099999999924,204.95
2026-03-13 08:35:03+00:00,GBPJPY,0,BUY (Mean Reversion),211.491,211.09377,212.02063,❌ STOP LOSS,,2026-03-13 12:00:00+00:00,211.09377,CLOSED,-0.3972300000000075,204.95
2026-03-13 09:35:07+00:00,GBPUSD,0,BUY (Mean Reversion),1.32792,1.32529,1.33141,❌ STOP LOSS,,2026-03-13 11:00:00+00:00,1.32529,CLOSED,-0.0026299999999999,84.88333333333334
